sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
baseball,154432,2024-06-26T18:10:00+00:00,1,MLB,2024,15,Houston Astros,10,Colorado Rockies,home,1.5123076923076924,2.622307692307692,10000,home
baseball,154433,2024-06-26T20:07:00+00:00,1,MLB,2024,17,Los Angeles Angels,26,Oakland Athletics,home,1.726923076923077,2.1615384615384614,10000,home
baseball,154434,2024-06-26T20:10:00+00:00,1,MLB,2024,30,San Diego Padres,37,Washington Nationals,home,1.5223076923076924,2.596923076923077,10000,home
baseball,154435,2024-06-26T22:35:00+00:00,1,MLB,2024,4,Baltimore Orioles,9,Cleveland Guardians,home,1.4253846153846153,2.9353846153846153,10000,home
baseball,154437,2024-06-26T23:10:00+00:00,1,MLB,2024,24,New York Mets,25,New York Yankees,home,2.079230769230769,1.7807692307692309,10000,home
baseball,154438,2024-06-26T23:15:00+00:00,1,MLB,2024,33,St.Louis Cardinals,3,Atlanta Braves,home,2.056153846153846,1.8053846153846151,10000,home
baseball,154439,2024-06-27T00:10:00+00:00,1,MLB,2024,7,Chicago White Sox,18,Los Angeles Dodgers,away,2.4507692307692306,1.573076923076923,10000,home
baseball,154431,2024-06-27T01:40:00+00:00,1,MLB,2024,2,Arizona Diamondbacks,22,Minnesota Twins,away,2.036923076923077,1.8084615384615383,10000,home
baseball,154440,2024-06-27T01:45:00+00:00,1,MLB,2024,31,San Francisco Giants,6,Chicago Cubs,home,1.8584615384615384,1.98,10000,home
baseball,154442,2024-06-27T19:40:00+00:00,1,MLB,2024,2,Arizona Diamondbacks,22,Minnesota Twins,away,1.96,1.8707692307692307,10000,home
baseball,154441,2024-06-27T19:45:00+00:00,1,MLB,2024,31,San Francisco Giants,6,Chicago Cubs,away,1.9215384615384616,1.9053846153846152,10000,home
baseball,153313,2024-06-27T20:10:00+00:00,1,MLB,2024,7,Chicago White Sox,3,Atlanta Braves,home,3.4261538461538463,1.333846153846154,10000,home
baseball,154443,2024-06-27T22:20:00+00:00,1,MLB,2024,27,Philadelphia Phillies,19,Miami Marlins,away,1.333846153846154,3.383076923076923,10000,home
baseball,154444,2024-06-27T22:35:00+00:00,1,MLB,2024,4,Baltimore Orioles,35,Texas Rangers,home,1.4884615384615385,2.7146153846153847,10000,home
baseball,154445,2024-06-27T23:07:00+00:00,1,MLB,2024,36,Toronto Blue Jays,25,New York Yankees,home,2.1323076923076925,1.7476923076923077,10000,home
